Station,Date,Hour,Temp_C,DewPoint_C,Humidity_pct,Precip_mm,SolarRad_Wm2,SoilTemp_C,Wind_ms,WindDir_deg,ETo_mm
13,2020-04-01,0100,10.2,10.0,99,0.0,0,9.2,0.9,76,0.0
13,2020-04-01,0200,9.9,9.9,100,0.0,0,9.2,1.7,149,0.0
13,2020-04-01,0300,9.4,9.4,100,0.0,0,9.2,1.6,104,0.0
13,2020-04-01,0400,9.1,9.1,100,0.0,0,9.2,1.6,103,0.0
13,2020-04-01,0500,9.3,8.8,97,0.0,0,9.1,1.8,110,0.0
13,2020-04-01,0600,9.1,8.4,96,0.0,3,9.1,1.5,109,0.0
13,2020-04-01,0700,7.8,7.3,97,0.0,60,9.1,1.2,350,0.02
13,2020-04-01,0800,8.2,6.4,88,0.0,128,9.1,1.4,42,0.06
13,2020-04-01,0900,9.4,7.7,89,0.0,337,9.1,1.7,225,0.17
13,2020-04-01,1000,10.5,8.3,86,0.0,441,9.0,2.3,226,0.24
13,2020-04-01,1100,11.2,7.5,78,0.0,733,9.0,3.0,226,0.42
13,2020-04-01,1200,11.2,8.1,81,0.0,656,9.0,3.2,277,0.38
13,2020-04-01,1300,11.6,7.7,77,0.0,581,9.0,3.1,269,0.35
13,2020-04-01,1400,11.8,6.4,69,0.0,519,9.0,3.4,273,0.32
13,2020-04-01,1500,13.1,4.0,54,0.0,680,9.1,3.0,264,0.43
13,2020-04-01,1600,13.1,1.0,44,0.0,565,9.1,3.2,274,0.33
13,2020-04-01,1700,12.6,-1.4,38,0.0,361,9.1,3.3,264,0.24
13,2020-04-01,1800,11.8,-3.5,34,0.0,155,9.2,2.8,279,0.12
13,2020-04-01,1900,9.4,-5.2,35,0.0,17,9.3,1.8,297,0.03
13,2020-04-01,2000,8.4,-6.8,33,0.0,0,9.3,1.2,351,0.01
13,2020-04-01,2100,7.7,-4.4,42,0.0,0,9.3,1.5,54,0.01
13,2020-04-01,2200,7.3,-1.8,52,0.0,0,9.4,2.0,58,0.01
13,2020-04-01,2300,7.7,-0.1,57,0.0,0,9.4,2.0,67,0.0
13,2020-04-01,2400,7.6,0.2,59,0.0,0,9.3,2.3,71,0.0
13,2020-04-02,0100,8.6,2.6,66,0.0,0,9.3,2.3,71,0.02
13,2020-04-02,0200,6.1,0.2,66,0.0,0,9.3,2.0,58,0.02
13,2020-04-02,0300,5.3,-0.9,64,0.0,0,9.2,2.7,67,0.02
13,2020-04-02,0400,5.3,-0.9,64,0.0,0,9.1,2.9,69,0.02
13,2020-04-02,0500,6.3,-0.5,61,0.0,0,9.1,2.6,75,0.03
13,2020-04-02,0600,5.3,-2.1,59,0.0,3,9.0,2.5,69,0.03
13,2020-04-02,0700,6.0,-2.5,54,0.0,115,9.0,2.8,67,0.08
13,2020-04-02,0800,8.2,-1.3,51,0.0,100,8.9,2.9,65,0.08
13,2020-04-02,0900,12.0,-0.5,42,0.0,545,8.8,2.0,57,0.29
13,2020-04-02,1000,12.7,-3.8,31,0.0,716,8.8,2.4,285,0.42
13,2020-04-02,1100,13.1,-3.0,32,0.0,839,8.7,3.2,274,0.53
13,2020-04-02,1200,15.2,-0.7,34,0.0,898,8.7,2.8,262,0.59
13,2020-04-02,1300,16.5,1.4,36,0.0,898,8.6,3.2,283,0.61
13,2020-04-02,1400,17.4,2.9,38,0.0,845,8.6,3.3,275,0.59
13,2020-04-02,1500,16.0,0.3,34,0.0,737,8.6,2.8,277,0.48
13,2020-04-02,1600,15.6,-1.5,31,0.0,576,8.7,3.1,266,0.37
13,2020-04-02,1700,15.4,-3.1,28,0.0,372,8.7,2.9,274,0.26
13,2020-04-02,1800,15.0,-3.0,29,0.0,160,8.7,2.4,279,0.13
13,2020-04-02,1900,12.5,-4.3,31,0.0,18,8.8,1.3,293,0.03
13,2020-04-02,2000,10.8,-7.8,26,0.0,0,8.9,0.8,1,0.01
13,2020-04-02,2100,9.5,-7.0,30,0.0,0,8.9,1.6,61,0.02
13,2020-04-02,2200,8.1,-4.3,41,0.0,0,8.9,2.4,62,0.02
13,2020-04-02,2300,7.8,-2.7,47,0.0,0,8.9,2.6,65,0.02
13,2020-04-02,2400,9.2,0.6,55,0.0,0,8.9,2.7,65,0.01
13,2020-04-03,0100,8.9,0.6,56,0.0,0,8.9,2.6,68,0.03
13,2020-04-03,0200,8.5,0.5,57,0.0,0,8.9,2.7,62,0.03
13,2020-04-03,0300,8.3,-0.3,55,0.0,0,8.8,2.6,65,0.03
