src_id,dst_id,importance_score
6,84,0.42
6,106,0.62
6,131,0.5
6,140,0.32
6,158,0.72
6,226,0.78
6,227,0.42
6,253,0.62
6,262,0.42
13,103,0.32
13,195,0.42
13,250,0.62
13,254,0.3
47,104,0.62
47,131,0.32
47,140,0.42
47,158,0.57
47,194,0.6
47,235,0.32
47,242,0.62
47,243,0.25
47,247,0.62
70,77,0.32
70,83,0.32
70,84,0.42
70,131,0.42
70,158,0.32
70,206,0.52
70,248,0.42
71,178,0.6
71,247,0.63
77,70,0.3
77,83,0.55
77,84,0.55
77,171,0.42
77,206,0.53
77,248,0.42
83,70,0.42
83,77,0.42
83,84,0.42
83,131,0.42
83,158,0.62
83,206,0.62
83,227,0.52
83,248,0.6
84,6,0.42
84,70,0.32
84,77,0.32
84,83,0.55
84,131,0.25
84,158,0.42
84,206,0.52
84,227,0.6
84,253,0.42
84,262,0.55
103,13,0.52
103,195,0.55
103,250,0.52
103,254,0.62
104,47,0.42
104,139,0.42
104,140,0.42
104,194,0.42
104,235,0.3
104,242,0.42
104,243,0.32
104,247,0.45
106,6,0.3
106,211,0.6
106,226,0.42
106,227,0.42
106,228,0.62
106,253,0.63
106,262,0.62
131,6,0.53
131,47,0.42
131,70,0.42
131,83,0.42
131,84,0.45
131,140,0.42
131,158,0.42
131,227,0.22
131,243,0.32
131,253,0.22
131,262,0.32
139,104,0.42
139,144,0.32
139,187,0.42
139,212,0.32
139,213,0.52
139,235,0.22
139,242,0.2
140,6,0.42
140,47,0.45
140,104,0.32
140,131,0.42
140,158,0.42
140,194,0.5
140,227,0.42
140,235,0.78
140,242,0.22
140,243,0.73
140,247,0.62
140,253,0.6
140,262,0.45
144,139,0.45
144,187,0.32
144,212,0.57
144,213,0.32
144,226,0.42
144,235,0.42
144,242,0.42
157,254,0.42
158,6,0.52
158,47,0.32
158,70,0.32
158,83,0.75
158,84,0.52
158,131,0.42
158,140,0.62
158,227,0.55
158,243,0.42
158,253,0.42
158,262,0.3
171,77,0.35
171,248,0.18
178,71,0.55
178,191,0.32
187,139,0.45
187,144,0.35
187,212,0.35
187,213,0.35
187,242,0.38
191,178,0.25
194,47,0.65
194,104,0.45
194,140,0.62
194,235,0.42
194,243,0.6
194,247,0.42
195,13,0.22
195,103,0.42
195,250,0.55
195,254,0.45
206,70,0.6
206,77,0.32
206,83,0.6
206,84,0.62
206,227,0.42
206,248,0.5
206,262,0.6
211,106,0.62
211,226,0.62
211,228,0.52
211,253,0.6
212,139,0.22
212,144,0.4
212,187,0.42
212,213,0.42
212,242,0.42
213,139,0.32
213,144,0.22
213,187,0.32
213,212,0.42
226,6,0.42
226,106,0.62
226,144,0.42
226,211,0.58
226,228,0.42
226,253,0.3
226,262,0.52
227,6,0.32
227,83,0.52
227,84,0.52
227,106,0.62
227,131,0.45
227,140,0.32
227,158,0.42
227,206,0.42
227,253,0.55
227,262,0.42
228,106,0.48
228,211,0.52
228,226,0.57
228,250,0.42
228,254,0.42
235,47,0.22
235,104,0.3
235,139,0.32
235,140,0.42
235,144,0.32
235,194,0.53
235,242,0.42
242,47,0.32
242,104,0.42
242,139,0.55
242,140,0.58
242,144,0.32
242,187,0.55
242,212,0.42
242,235,0.45
243,47,0.35
243,104,0.4
243,131,0.42
243,140,0.45
243,158,0.42
243,194,0.62
243,247,0.45
247,47,0.65
247,71,0.53
247,104,0.52
247,140,0.78
247,194,0.32
247,243,0.42
248,70,0.45
248,77,0.42
248,83,0.55
248,171,0.42
248,206,0.6
250,13,0.5
250,103,0.42
250,195,0.52
250,228,0.57
250,254,0.42
253,6,0.45
253,84,0.62
253,106,0.55
253,131,0.32
253,140,0.78
253,158,0.6
253,211,0.42
253,226,0.6
253,227,0.42
253,262,0.32
254,13,0.42
254,103,0.42
254,157,0.48
254,195,0.42
254,228,0.42
254,250,0.42
262,6,0.18
262,84,0.55
262,106,0.42
262,131,0.42
262,140,0.32
262,158,0.42
262,206,0.12
262,226,0.32
262,227,0.32
262,253,0.55
